,institution.name,collection,object_number,object_category,object_name,title,description,creator,creator.role,production.place,production.period,production.date.start,production.date.start.prec,production.date.end,production.date.end.prec,material,material.part,dimension.part,dimension.value,dimension.unit,inscription.content,association.person,association.subject.type,association.subject,association.period
1973,Industriemuseum,informatie en communicatie,AF01518,kartonborden,uithangbord,Reclamebord voor strijkijzers te verkrijgen bij Schulze in Gent,"Bord met reclame voor strijkijzers verdeeld door Etablissements Emile Schulze pvba, gelegen in de Sint-Pietersnieuwstraat in Gent. De firma Schulze was vooral actief als gloeikousjesfabriek, maar verkocht ook andere producten.","Eeckhaute, Louis",ontwerper,Gent,20ste eeuw,,,,,karton,geheel,geheel,25.0,cm,"Etablissements Emille Schulze / Fers à repasser / Tous modèles-Tous poids / Démonstration permanente au Stand // Louis EECKHAUTE, Rue de Courtrai, 45 GAND",Schulze Emile pvba,onderwerp,informatie en communicatie,20ste eeuw
1974,Industriemuseum,documentaire collectie,AF01527,kartonborden,uithangbord,Informatiebord van Schulze in Gent,"Bord met aanduiding waar er extra informatie kan worden gevraagd over producten verkocht door Etablissements Emile Schulze pvba, gelegen in de Sint-Pietersnieuwstraat in Gent. De firma Schulze was vooral actief als gloeikousjesfabriek, maar verkocht ook andere producten.","Eeckhaute, Louis",ontwerper,Gent,20ste eeuw,,,,,karton,geheel,geheel,40.5,cm,Pour tous / Renseignements / prière s'adresser au Stand des / Etablissements / Emile Schulze / à l'entrée de ce Pavillon // Louis EECKHAUTE GAND,Schulze Emile pvba,onderwerp,informatie en communicatie,20ste eeuw
1975,Industriemuseum,informatie en communicatie,AF01528,kartonborden,uithangbord,Reclamebord voor producten te verkrijgen bij Schulze in Gent,"Bord met reclame voor gasbranders en soldeerbouten verdeeld door Etablissements Emile Schulze pvba, gelegen in de Sint-Pietersnieuwstraat in Gent. De firma Schulze was vooral actief als gloeikousjesfabriek, maar verkocht ook andere producten.","Eeckhaute, Louis",ontwerper,Gent,20ste eeuw,,,,,karton,geheel,geheel,45.0,cm,"Etablissements Emile Schulze / Gand-Belgique / Brûleurs Circulaires à haute pression / Brûleurs Rampes pour Cylindres / Chalumaux à braser / Fers à souder // Louis EECKHAUTE, Rue de Courtrai, 45 GAND",Schulze Emile pvba,onderwerp,informatie en communicatie,20ste eeuw
1969,Industriemuseum,informatie en communicatie,AF01503-001,kartonborden,uithangbord,Reclamebord voor soldeerbout te verkrijgen bij Schulze in Gent,"Bord met reclame voor soldeerbout speciaal voor de auto-industrie verdeeld door Etablissements Emile Schulze pvba, gelegen in de Sint-Pietersnieuwstraat in Gent. De firma Schulze was vooral actief als gloeikousjesfabriek, maar verkocht ook andere producten.","Eeckhaute, Louis",ontwerper,Gent,20ste eeuw,,,,,karton,geheel,geheel,30.5,cm,"CHALUMEAU à BRASER / Spécial / Pour l'Industrie de l'Automobile / et de la Motocyclette / Établissements / GAND / EMILE SCHULZE // LOUIS EECKHAUTE, RUE DE COURTAI, 45 GAND",Schulze Emile pvba,onderwerp,informatie en communicatie,20ste eeuw
1402,Industriemuseum,informatie en communicatie,AF00302,kartonborden,uithangbord,Reclamebord voor ventilatoren te verkrijgen bij Schulze in Gent,"Bord met reclame voor luchtventilatoren voor onder andere smidsevuren en ovens verdeeld door Etablissements Emile Schulze pvba, gelegen in de Sint-Pietersnieuwstraat in Gent. De firma Schulze was vooral actief als gloeikousjesfabriek, maar verkocht ook andere producten.","Eeckhaute, Louis",ontwerper,Gent,20ste eeuw,,,,,karton,geheel,geheel,25.0,cm,"Etablissements Emile Schulze / Ventilateur à air / Type H.H. / Débit horaire 120 m³ - Pression 500 m/m / pour forges, fours et autres // Louis EECKHAUTE, Rue de Courtrai, 45 GAND",Schulze Emile pvba,onderwerp,informatie en communicatie,20ste eeuw
7319,Industriemuseum,documentaire collectie,D10081,,brochure,Bedrijfspublicatie van het textielbedrijf UCO,"Publiciteit van het textielbedrijf UCO met hoofdzetel in Gent. Met voorstelling van de verschillende afdelingen (spinnerij, weverij, veredeling, styling, confectie, engineering, verkoop) en vermelding van nationale en internationale vestigingen.",Francken Foto,ontwerper,Gent,3de kwart 20ste eeuw,1970,,1975,,,,,29.5,cm,,UCO nv,onderwerp,textiel,3de kwart 20ste eeuw
